sample_id,global_subject_id,original_id,batch,activity,is_multi_activity,session,source_file,window_id,window_start_row,window_end_row,split,notes,reason
9425,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,7,17920,23040,train,,missing_primary_ecg_column
9426,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,8,20480,25600,train,,missing_primary_ecg_column
9427,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,9,23040,28160,train,,missing_primary_ecg_column
9428,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,10,25600,30720,train,,missing_primary_ecg_column
9429,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,11,28160,33280,train,,missing_primary_ecg_column
9430,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,12,30720,35840,train,,missing_primary_ecg_column
9431,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,13,33280,38400,train,,missing_primary_ecg_column
9432,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,14,35840,40960,train,,missing_primary_ecg_column
9433,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,15,38400,43520,train,,missing_primary_ecg_column
9434,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,16,40960,46080,train,,missing_primary_ecg_column
9435,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,17,43520,48640,train,,missing_primary_ecg_column
9436,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,18,46080,51200,train,,missing_primary_ecg_column
9437,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,19,48640,53760,train,,missing_primary_ecg_column
9438,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,20,51200,56320,train,,missing_primary_ecg_column
9439,S066,s14,6,sitting,False,1,batch6\sitting\sitting_s14.csv,21,53760,58880,train,,missing_primary_ecg_column
9440,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,0,0,5120,train,,missing_primary_ecg_column
9441,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,1,2560,7680,train,,missing_primary_ecg_column
9442,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,2,5120,10240,train,,missing_primary_ecg_column
9443,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,3,7680,12800,train,,missing_primary_ecg_column
9444,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,4,10240,15360,train,,missing_primary_ecg_column
9445,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,5,12800,17920,train,,missing_primary_ecg_column
9446,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,6,15360,20480,train,,missing_primary_ecg_column
9447,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,7,17920,23040,train,,missing_primary_ecg_column
9448,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,8,20480,25600,train,,missing_primary_ecg_column
9449,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,9,23040,28160,train,,missing_primary_ecg_column
9450,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,10,25600,30720,train,,missing_primary_ecg_column
9451,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,11,28160,33280,train,,missing_primary_ecg_column
9452,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,12,30720,35840,train,,missing_primary_ecg_column
9453,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,13,33280,38400,train,,missing_primary_ecg_column
9454,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,14,35840,40960,train,,missing_primary_ecg_column
9455,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,15,38400,43520,train,,missing_primary_ecg_column
9456,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,16,40960,46080,train,,missing_primary_ecg_column
9457,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,17,43520,48640,train,,missing_primary_ecg_column
9458,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,18,46080,51200,train,,missing_primary_ecg_column
9459,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,19,48640,53760,train,,missing_primary_ecg_column
9460,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,20,51200,56320,train,,missing_primary_ecg_column
9461,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,21,53760,58880,train,,missing_primary_ecg_column
9462,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,22,56320,61440,train,,missing_primary_ecg_column
9463,S067,s15,6,sitting,False,1,batch6\sitting\sitting_s15.csv,23,58880,64000,train,,missing_primary_ecg_column
9688,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,0,0,5120,train,,missing_primary_ecg_column
9689,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,1,2560,7680,train,,missing_primary_ecg_column
9690,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,2,5120,10240,train,,missing_primary_ecg_column
9691,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,3,7680,12800,train,,missing_primary_ecg_column
9692,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,4,10240,15360,train,,missing_primary_ecg_column
9693,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,5,12800,17920,train,,missing_primary_ecg_column
9694,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,6,15360,20480,train,,missing_primary_ecg_column
9695,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,7,17920,23040,train,,missing_primary_ecg_column
9696,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,8,20480,25600,train,,missing_primary_ecg_column
9697,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,9,23040,28160,train,,missing_primary_ecg_column
9698,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,10,25600,30720,train,,missing_primary_ecg_column
9699,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,11,28160,33280,train,,missing_primary_ecg_column
9700,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,12,30720,35840,train,,missing_primary_ecg_column
9701,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,13,33280,38400,train,,missing_primary_ecg_column
9702,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,14,35840,40960,train,,missing_primary_ecg_column
9703,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,15,38400,43520,train,,missing_primary_ecg_column
9704,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,16,40960,46080,train,,missing_primary_ecg_column
9705,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,17,43520,48640,train,,missing_primary_ecg_column
9706,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,18,46080,51200,train,,missing_primary_ecg_column
9707,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,19,48640,53760,train,,missing_primary_ecg_column
9708,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,20,51200,56320,train,,missing_primary_ecg_column
9709,S066,s14,6,skipping,False,1,batch6\skipping\skipping_s14.csv,21,53760,58880,train,,missing_primary_ecg_column
9710,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,0,0,5120,train,,missing_primary_ecg_column
9711,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,1,2560,7680,train,,missing_primary_ecg_column
9712,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,2,5120,10240,train,,missing_primary_ecg_column
9713,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,3,7680,12800,train,,missing_primary_ecg_column
9714,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,4,10240,15360,train,,missing_primary_ecg_column
9715,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,5,12800,17920,train,,missing_primary_ecg_column
9716,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,6,15360,20480,train,,missing_primary_ecg_column
9717,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,7,17920,23040,train,,missing_primary_ecg_column
9718,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,8,20480,25600,train,,missing_primary_ecg_column
9719,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,9,23040,28160,train,,missing_primary_ecg_column
9720,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,10,25600,30720,train,,missing_primary_ecg_column
9721,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,11,28160,33280,train,,missing_primary_ecg_column
9722,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,12,30720,35840,train,,missing_primary_ecg_column
9723,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,13,33280,38400,train,,missing_primary_ecg_column
9724,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,14,35840,40960,train,,missing_primary_ecg_column
9725,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,15,38400,43520,train,,missing_primary_ecg_column
9726,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,16,40960,46080,train,,missing_primary_ecg_column
9727,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,17,43520,48640,train,,missing_primary_ecg_column
9728,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,18,46080,51200,train,,missing_primary_ecg_column
9729,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,19,48640,53760,train,,missing_primary_ecg_column
9730,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,20,51200,56320,train,,missing_primary_ecg_column
9731,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,21,53760,58880,train,,missing_primary_ecg_column
9732,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,22,56320,61440,train,,missing_primary_ecg_column
9733,S067,s15,6,skipping,False,1,batch6\skipping\skipping_s15.csv,23,58880,64000,train,,missing_primary_ecg_column
9983,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,0,0,5120,train,,missing_primary_ecg_column
9984,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,1,2560,7680,train,,missing_primary_ecg_column
9985,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,2,5120,10240,train,,missing_primary_ecg_column
9986,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,3,7680,12800,train,,missing_primary_ecg_column
9987,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,4,10240,15360,train,,missing_primary_ecg_column
9988,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,5,12800,17920,train,,missing_primary_ecg_column
9989,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,6,15360,20480,train,,missing_primary_ecg_column
9990,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,7,17920,23040,train,,missing_primary_ecg_column
9991,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,8,20480,25600,train,,missing_primary_ecg_column
9992,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,9,23040,28160,train,,missing_primary_ecg_column
9993,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,10,25600,30720,train,,missing_primary_ecg_column
9994,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,11,28160,33280,train,,missing_primary_ecg_column
9995,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,12,30720,35840,train,,missing_primary_ecg_column
9996,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,13,33280,38400,train,,missing_primary_ecg_column
9997,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,14,35840,40960,train,,missing_primary_ecg_column
9998,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,15,38400,43520,train,,missing_primary_ecg_column
9999,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,16,40960,46080,train,,missing_primary_ecg_column
10000,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,17,43520,48640,train,,missing_primary_ecg_column
10001,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,18,46080,51200,train,,missing_primary_ecg_column
10002,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,19,48640,53760,train,,missing_primary_ecg_column
10003,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,20,51200,56320,train,,missing_primary_ecg_column
10004,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,21,53760,58880,train,,missing_primary_ecg_column
10005,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,22,56320,61440,train,,missing_primary_ecg_column
10006,S066,s14,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s14.csv,23,58880,64000,train,,missing_primary_ecg_column
10007,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,0,0,5120,train,,missing_primary_ecg_column
10008,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,1,2560,7680,train,,missing_primary_ecg_column
10009,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,2,5120,10240,train,,missing_primary_ecg_column
10010,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,3,7680,12800,train,,missing_primary_ecg_column
10011,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,4,10240,15360,train,,missing_primary_ecg_column
10012,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,5,12800,17920,train,,missing_primary_ecg_column
10013,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,6,15360,20480,train,,missing_primary_ecg_column
10014,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,7,17920,23040,train,,missing_primary_ecg_column
10015,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,8,20480,25600,train,,missing_primary_ecg_column
10016,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,9,23040,28160,train,,missing_primary_ecg_column
10017,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,10,25600,30720,train,,missing_primary_ecg_column
10018,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,11,28160,33280,train,,missing_primary_ecg_column
10019,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,12,30720,35840,train,,missing_primary_ecg_column
10020,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,13,33280,38400,train,,missing_primary_ecg_column
10021,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,14,35840,40960,train,,missing_primary_ecg_column
10022,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,15,38400,43520,train,,missing_primary_ecg_column
10023,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,16,40960,46080,train,,missing_primary_ecg_column
10024,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,17,43520,48640,train,,missing_primary_ecg_column
10025,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,18,46080,51200,train,,missing_primary_ecg_column
10026,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,19,48640,53760,train,,missing_primary_ecg_column
10027,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,20,51200,56320,train,,missing_primary_ecg_column
10028,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,21,53760,58880,train,,missing_primary_ecg_column
10029,S067,s15,6,stairs_down,False,1,batch6\stairs down\climbing_down_stairs_s15.csv,22,56320,61440,train,,missing_primary_ecg_column
10298,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,0,0,5120,train,,missing_primary_ecg_column
10299,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,1,2560,7680,train,,missing_primary_ecg_column
10300,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,2,5120,10240,train,,missing_primary_ecg_column
10301,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,3,7680,12800,train,,missing_primary_ecg_column
10302,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,4,10240,15360,train,,missing_primary_ecg_column
10303,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,5,12800,17920,train,,missing_primary_ecg_column
10304,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,6,15360,20480,train,,missing_primary_ecg_column
10305,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,7,17920,23040,train,,missing_primary_ecg_column
10306,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,8,20480,25600,train,,missing_primary_ecg_column
10307,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,9,23040,28160,train,,missing_primary_ecg_column
10308,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,10,25600,30720,train,,missing_primary_ecg_column
10309,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,11,28160,33280,train,,missing_primary_ecg_column
10310,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,12,30720,35840,train,,missing_primary_ecg_column
10311,S066,s14,6,stairs_up,False,1,batch6\stairs up\climbing_up_stairs_s14.csv,13,33280,38400,train,,missing_primary_ecg_column
