sample_id,global_subject_id,original_id,batch,activity,is_multi_activity,session,source_file,window_id,window_start_row,window_end_row,split,notes,processed_path,n_beats,n_peaks,reused
73,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,73,186880,192000,train,,processed\S001\000073.npz,16,17,False
74,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,74,189440,194560,train,,processed\S001\000074.npz,15,16,False
75,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,75,192000,197120,train,,processed\S001\000075.npz,16,16,False
76,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,76,194560,199680,train,,processed\S001\000076.npz,16,17,False
77,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,77,197120,202240,train,,processed\S001\000077.npz,16,17,False
78,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,78,199680,204800,train,,processed\S001\000078.npz,16,16,False
79,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,79,202240,207360,train,,processed\S001\000079.npz,16,17,False
80,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,80,204800,209920,train,,processed\S001\000080.npz,16,16,False
81,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,81,207360,212480,train,,processed\S001\000081.npz,16,17,False
82,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,82,209920,215040,train,,processed\S001\000082.npz,16,17,False
83,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,83,212480,217600,train,,processed\S001\000083.npz,16,17,False
84,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,84,215040,220160,train,,processed\S001\000084.npz,17,18,False
85,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,85,217600,222720,train,,processed\S001\000085.npz,17,17,False
86,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,86,220160,225280,train,,processed\S001\000086.npz,16,17,False
87,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,87,222720,227840,train,,processed\S001\000087.npz,16,16,False
88,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,88,225280,230400,train,,processed\S001\000088.npz,16,17,False
89,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,89,227840,232960,train,,processed\S001\000089.npz,16,17,False
90,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,90,230400,235520,train,,processed\S001\000090.npz,17,18,False
91,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,91,232960,238080,train,,processed\S001\000091.npz,17,18,False
92,S001,01,1,bending,False,1,batch1\bending\01_beugen_80E9_center.csv,92,235520,240640,train,,processed\S001\000092.npz,16,16,False
93,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,0,0,5120,train,,processed\S002\000093.npz,12,12,False
94,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,1,2560,7680,train,,processed\S002\000094.npz,11,12,False
95,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,2,5120,10240,train,,processed\S002\000095.npz,12,12,False
96,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,3,7680,12800,train,,processed\S002\000096.npz,12,12,False
97,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,4,10240,15360,train,,processed\S002\000097.npz,11,12,False
98,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,5,12800,17920,train,,processed\S002\000098.npz,12,12,False
99,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,6,15360,20480,train,,processed\S002\000099.npz,12,12,False
100,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,7,17920,23040,train,,processed\S002\000100.npz,13,13,False
101,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,8,20480,25600,train,,processed\S002\000101.npz,12,13,False
102,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,9,23040,28160,train,,processed\S002\000102.npz,12,12,False
103,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,10,25600,30720,train,,processed\S002\000103.npz,12,13,False
104,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,11,28160,33280,train,,processed\S002\000104.npz,13,13,False
105,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,12,30720,35840,train,,processed\S002\000105.npz,12,13,False
106,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,13,33280,38400,train,,processed\S002\000106.npz,11,12,False
107,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,14,35840,40960,train,,processed\S002\000107.npz,12,12,False
108,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,15,38400,43520,train,,processed\S002\000108.npz,12,13,False
109,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,16,40960,46080,train,,processed\S002\000109.npz,12,12,False
110,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,17,43520,48640,train,,processed\S002\000110.npz,12,13,False
111,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,18,46080,51200,train,,processed\S002\000111.npz,12,12,False
112,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,19,48640,53760,train,,processed\S002\000112.npz,12,13,False
113,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,20,51200,56320,train,,processed\S002\000113.npz,12,12,False
114,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,21,53760,58880,train,,processed\S002\000114.npz,12,12,False
115,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,22,56320,61440,train,,processed\S002\000115.npz,12,12,False
116,S002,02,1,bending,False,1,batch1\bending\02_beugen_80E9_center.csv,23,58880,64000,train,,processed\S002\000116.npz,12,13,False
117,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,0,0,5120,train,,processed\S003\000117.npz,11,11,False
118,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,1,2560,7680,train,,processed\S003\000118.npz,13,14,False
119,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,2,5120,10240,train,,processed\S003\000119.npz,13,14,False
120,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,3,7680,12800,train,,processed\S003\000120.npz,13,14,False
121,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,4,10240,15360,train,,processed\S003\000121.npz,13,13,False
122,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,5,12800,17920,train,,processed\S003\000122.npz,14,14,False
123,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,6,15360,20480,train,,processed\S003\000123.npz,14,15,False
124,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,7,17920,23040,train,,processed\S003\000124.npz,12,13,False
125,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,8,20480,25600,train,,processed\S003\000125.npz,13,13,False
126,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,9,23040,28160,train,,processed\S003\000126.npz,15,15,False
127,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,10,25600,30720,train,,processed\S003\000127.npz,14,14,False
128,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,11,28160,33280,train,,processed\S003\000128.npz,15,15,False
129,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,12,30720,35840,train,,processed\S003\000129.npz,14,15,False
130,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,13,33280,38400,train,,processed\S003\000130.npz,14,15,False
131,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,14,35840,40960,train,,processed\S003\000131.npz,15,16,False
132,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,15,38400,43520,train,,processed\S003\000132.npz,15,15,False
133,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,16,40960,46080,train,,processed\S003\000133.npz,15,15,False
134,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,17,43520,48640,train,,processed\S003\000134.npz,14,15,False
135,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,18,46080,51200,train,,processed\S003\000135.npz,14,14,False
136,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,19,48640,53760,train,,processed\S003\000136.npz,14,15,False
137,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,20,51200,56320,train,,processed\S003\000137.npz,14,15,False
138,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,21,53760,58880,train,,processed\S003\000138.npz,15,16,False
139,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,22,56320,61440,train,,processed\S003\000139.npz,15,15,False
140,S003,03,1,bending,False,1,batch1\bending\03_beugen_80E9_center.csv,23,58880,64000,train,,processed\S003\000140.npz,15,16,False
141,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,0,0,5120,train,,processed\S004\000141.npz,15,16,False
142,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,1,2560,7680,train,,processed\S004\000142.npz,16,17,False
143,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,2,5120,10240,train,,processed\S004\000143.npz,14,14,False
144,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,3,7680,12800,train,,processed\S004\000144.npz,11,11,False
145,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,4,10240,15360,train,,processed\S004\000145.npz,13,13,False
146,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,5,12800,17920,train,,processed\S004\000146.npz,13,13,False
147,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,6,15360,20480,train,,processed\S004\000147.npz,14,14,False
148,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,7,17920,23040,train,,processed\S004\000148.npz,14,15,False
149,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,8,20480,25600,train,,processed\S004\000149.npz,14,15,False
150,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,9,23040,28160,train,,processed\S004\000150.npz,15,16,False
151,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,10,25600,30720,train,,processed\S004\000151.npz,16,16,False
152,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,11,28160,33280,train,,processed\S004\000152.npz,15,16,False
153,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,12,30720,35840,train,,processed\S004\000153.npz,16,16,False
154,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,13,33280,38400,train,,processed\S004\000154.npz,17,17,False
155,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,14,35840,40960,train,,processed\S004\000155.npz,13,13,False
156,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,15,38400,43520,train,,processed\S004\000156.npz,12,12,False
157,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,16,40960,46080,train,,processed\S004\000157.npz,14,15,False
158,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,17,43520,48640,train,,processed\S004\000158.npz,12,13,False
159,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,18,46080,51200,train,,processed\S004\000159.npz,13,13,False
160,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,19,48640,53760,train,,processed\S004\000160.npz,11,11,False
161,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,20,51200,56320,train,,processed\S004\000161.npz,13,14,False
162,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,21,53760,58880,train,,processed\S004\000162.npz,14,15,False
163,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,22,56320,61440,train,,processed\S004\000163.npz,14,15,False
164,S004,04,1,bending,False,1,batch1\bending\04_beugen_80E9_center.csv,23,58880,64000,train,,processed\S004\000164.npz,16,16,False
165,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,0,0,5120,train,,processed\S005\000165.npz,14,15,False
166,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,1,2560,7680,train,,processed\S005\000166.npz,14,15,False
167,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,2,5120,10240,train,,processed\S005\000167.npz,15,16,False
168,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,3,7680,12800,train,,processed\S005\000168.npz,15,16,False
169,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,4,10240,15360,train,,processed\S005\000169.npz,16,16,False
170,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,5,12800,17920,train,,processed\S005\000170.npz,14,14,False
171,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,6,15360,20480,train,,processed\S005\000171.npz,14,14,False
172,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,7,17920,23040,train,,processed\S005\000172.npz,14,15,False
173,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,8,20480,25600,train,,processed\S005\000173.npz,14,15,False
174,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,9,23040,28160,train,,processed\S005\000174.npz,14,15,False
175,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,10,25600,30720,train,,processed\S005\000175.npz,15,16,False
176,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,11,28160,33280,train,,processed\S005\000176.npz,14,15,False
177,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,12,30720,35840,train,,processed\S005\000177.npz,14,15,False
178,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,13,33280,38400,train,,processed\S005\000178.npz,14,15,False
179,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,14,35840,40960,train,,processed\S005\000179.npz,14,15,False
180,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,15,38400,43520,train,,processed\S005\000180.npz,15,16,False
181,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,16,40960,46080,train,,processed\S005\000181.npz,16,17,False
182,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,17,43520,48640,train,,processed\S005\000182.npz,15,16,False
183,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,18,46080,51200,train,,processed\S005\000183.npz,16,16,False
184,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,19,48640,53760,train,,processed\S005\000184.npz,16,17,False
185,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,20,51200,56320,train,,processed\S005\000185.npz,16,17,False
186,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,21,53760,58880,train,,processed\S005\000186.npz,15,16,False
187,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,22,56320,61440,train,,processed\S005\000187.npz,16,17,False
188,S005,05,1,bending,False,1,batch1\bending\05_beugen_80E9_center.csv,23,58880,64000,train,,processed\S005\000188.npz,15,16,False
189,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,0,0,5120,train,,processed\S006\000189.npz,15,16,False
190,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,1,2560,7680,train,,processed\S006\000190.npz,15,16,False
191,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,2,5120,10240,train,,processed\S006\000191.npz,16,16,False
192,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,3,7680,12800,train,,processed\S006\000192.npz,16,17,False
193,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,4,10240,15360,train,,processed\S006\000193.npz,16,16,False
194,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,5,12800,17920,train,,processed\S006\000194.npz,17,18,False
195,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,6,15360,20480,train,,processed\S006\000195.npz,17,17,False
196,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,7,17920,23040,train,,processed\S006\000196.npz,16,17,False
197,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,8,20480,25600,train,,processed\S006\000197.npz,16,16,False
198,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,9,23040,28160,train,,processed\S006\000198.npz,16,17,False
199,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,10,25600,30720,train,,processed\S006\000199.npz,15,16,False
200,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,11,28160,33280,train,,processed\S006\000200.npz,15,15,False
201,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,12,30720,35840,train,,processed\S006\000201.npz,15,15,False
202,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,13,33280,38400,train,,processed\S006\000202.npz,15,15,False
203,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,14,35840,40960,train,,processed\S006\000203.npz,15,15,False
204,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,15,38400,43520,train,,processed\S006\000204.npz,16,16,False
205,S006,06,1,bending,False,1,batch1\bending\06_beugen_80E9_center.csv,16,40960,46080,train,,processed\S006\000205.npz,16,16,False
